Periodname,Provider Parent org code,Provider Parent name,Provider Org code,Provider Org name,Commissioner Parent Org Code,Commissioner Org Name,Commissioner Org Code,Ip Elect Ord,Ip Elect Day,Ip Elect Total,Ip Elecord Planned,Ip Elecday Planned,Ip Electotal Planned,Ip Elect Total Tc,Ip Nonelect,Op Gprefsmade M,Op Gprefsseen M,Op Gprefsmade Ga M,Op Gprefsseen Ga M,Op Otherrefsmade Ga M,Op 1statt Ga M
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT403,BMI - THE BEARDWOOD HOSPITAL,QE1,NHS EAST LANCASHIRE CCG,01A,0,0,0,0,0,0,0,0,56,6,56,6,30,6
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT403,BMI - THE BEARDWOOD HOSPITAL,QE1,NHS GREATER PRESTON CCG,01E,0,0,0,0,0,0,0,0,8,0,8,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT403,BMI - THE BEARDWOOD HOSPITAL,QHM,NHS NORTH CUMBRIA CCG,01H,0,0,0,0,0,0,0,0,3,1,3,1,0,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT403,BMI - THE BEARDWOOD HOSPITAL,QOP,NHS BOLTON CCG,00T,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT449,BMI THE LANCASTER HOSPITAL,QE1,NHS MORECAMBE BAY CCG,01K,0,0,0,0,0,0,0,0,15,0,15,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT449,BMI THE LANCASTER HOSPITAL,QE1,NHS FYLDE AND WYRE CCG,02M,0,0,0,0,0,0,0,0,5,0,5,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT449,BMI THE LANCASTER HOSPITAL,QHM,NHS NORTH CUMBRIA CCG,01H,0,0,0,0,0,0,0,0,2,0,2,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT497,BMI GISBURNE PARK HOSPITAL,QE1,NHS EAST LANCASHIRE CCG,01A,0,0,0,0,0,0,0,0,18,0,18,0,12,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT497,BMI GISBURNE PARK HOSPITAL,QE1,NHS GREATER PRESTON CCG,01E,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT497,BMI GISBURNE PARK HOSPITAL,QE1,NHS MORECAMBE BAY CCG,01K,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT497,BMI GISBURNE PARK HOSPITAL,QHM,NHS NORTH CUMBRIA CCG,01H,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT497,BMI GISBURNE PARK HOSPITAL,QKK,NHS SOUTH EAST LONDON CCG,72Q,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NT497,BMI GISBURNE PARK HOSPITAL,QWO,NHS BRADFORD DISTRICT AND CRAVEN CCG,36J,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC05,EUXTON HALL HOSPITAL,QE1,NHS BLACKBURN WITH DARWEN CCG,00Q,0,0,0,0,0,0,0,0,3,3,3,3,0,3
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC05,EUXTON HALL HOSPITAL,QE1,NHS CHORLEY AND SOUTH RIBBLE CCG,00X,0,0,0,0,0,0,0,0,94,160,94,160,0,160
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC05,EUXTON HALL HOSPITAL,QE1,NHS EAST LANCASHIRE CCG,01A,0,0,0,0,0,0,0,0,0,3,0,3,0,3
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC05,EUXTON HALL HOSPITAL,QE1,NHS GREATER PRESTON CCG,01E,0,0,0,0,0,0,0,0,8,27,8,27,0,27
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC05,EUXTON HALL HOSPITAL,QE1,NHS MORECAMBE BAY CCG,01K,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC05,EUXTON HALL HOSPITAL,QE1,NHS WEST LANCASHIRE CCG,02G,0,0,0,0,0,0,0,0,8,22,8,22,0,22
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC05,EUXTON HALL HOSPITAL,QE1,NHS FYLDE AND WYRE CCG,02M,0,0,0,0,0,0,0,0,4,1,4,1,0,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC05,EUXTON HALL HOSPITAL,QOP,NHS BOLTON CCG,00T,0,0,0,0,0,0,0,0,3,14,3,14,0,14
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC05,EUXTON HALL HOSPITAL,QOP,NHS WIGAN BOROUGH CCG,02H,0,0,0,0,0,0,0,0,1,12,1,12,0,12
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC05,EUXTON HALL HOSPITAL,QYG,NHS SOUTHPORT AND FORMBY CCG,01V,0,0,0,0,0,0,0,0,1,3,1,3,0,3
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC05,EUXTON HALL HOSPITAL,QYG,NHS ST HELENS CCG,01X,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC07,FULWOOD HALL HOSPITAL,QE1,NHS BLACKBURN WITH DARWEN CCG,00Q,0,0,0,0,0,0,0,0,3,1,3,1,0,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC07,FULWOOD HALL HOSPITAL,QE1,NHS BLACKPOOL CCG,00R,0,0,0,0,0,0,0,0,4,2,4,2,0,2
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC07,FULWOOD HALL HOSPITAL,QE1,NHS CHORLEY AND SOUTH RIBBLE CCG,00X,0,0,0,0,0,0,0,0,28,5,28,5,0,5
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC07,FULWOOD HALL HOSPITAL,QE1,NHS EAST LANCASHIRE CCG,01A,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC07,FULWOOD HALL HOSPITAL,QE1,NHS GREATER PRESTON CCG,01E,0,0,0,0,0,0,0,0,2,20,2,20,0,20
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC07,FULWOOD HALL HOSPITAL,QE1,NHS MORECAMBE BAY CCG,01K,0,0,0,0,0,0,0,0,3,4,3,4,0,4
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC07,FULWOOD HALL HOSPITAL,QE1,NHS WEST LANCASHIRE CCG,02G,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC07,FULWOOD HALL HOSPITAL,QE1,NHS FYLDE AND WYRE CCG,02M,0,0,0,0,0,0,0,0,9,7,9,7,0,7
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC07,FULWOOD HALL HOSPITAL,QHM,NHS NORTH CUMBRIA CCG,01H,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC07,FULWOOD HALL HOSPITAL,QYG,NHS SOUTHPORT AND FORMBY CCG,01V,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC16,RENACRES HOSPITAL,QE1,NHS BLACKPOOL CCG,00R,0,0,0,0,0,0,0,0,2,0,2,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC16,RENACRES HOSPITAL,QE1,NHS EAST LANCASHIRE CCG,01A,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC16,RENACRES HOSPITAL,QE1,NHS GREATER PRESTON CCG,01E,0,0,0,0,0,0,0,0,1,0,1,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC16,RENACRES HOSPITAL,QE1,NHS MORECAMBE BAY CCG,01K,0,0,0,0,0,0,0,0,1,1,1,1,0,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC16,RENACRES HOSPITAL,QE1,NHS WEST LANCASHIRE CCG,02G,0,0,0,0,0,0,0,0,9,1,9,1,0,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC16,RENACRES HOSPITAL,QYG,NHS KNOWSLEY CCG,01J,0,0,0,0,0,0,0,0,3,0,3,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC16,RENACRES HOSPITAL,QYG,NHS SOUTH SEFTON CCG,01T,0,0,0,0,0,0,0,0,14,0,14,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC16,RENACRES HOSPITAL,QYG,NHS SOUTHPORT AND FORMBY CCG,01V,0,0,0,0,0,0,0,0,10,1,10,1,0,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC16,RENACRES HOSPITAL,QYG,NHS ST HELENS CCG,01X,0,0,0,0,0,0,0,0,3,0,3,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,NVC16,RENACRES HOSPITAL,QYG,NHS LIVERPOOL CCG,99A,0,0,0,0,0,0,0,0,4,1,4,1,0,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,,,NONC,0,1,1,0,0,0,0,3,0,0,0,0,4,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,,NHS ENGLAND,X24,1,33,34,0,12,12,0,27,52,14,52,14,101,81
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QE1,NHS BLACKBURN WITH DARWEN CCG,00Q,0,1,1,0,1,1,0,0,0,0,0,0,26,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QE1,NHS BLACKPOOL CCG,00R,0,0,0,0,0,0,0,5,1,2,1,2,26,4
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QE1,NHS CHORLEY AND SOUTH RIBBLE CCG,00X,0,0,0,0,0,0,0,2,0,0,0,0,50,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QE1,NHS EAST LANCASHIRE CCG,01A,0,2,2,0,2,2,0,1,0,0,0,0,55,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QE1,NHS GREATER PRESTON CCG,01E,1,0,1,0,0,0,0,0,10,1,10,1,58,2
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QE1,NHS MORECAMBE BAY CCG,01K,66,675,741,19,440,459,0,2031,1539,638,1539,637,3301,1475
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QE1,NHS WEST LANCASHIRE CCG,02G,0,0,0,0,0,0,0,1,0,0,0,0,5,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QE1,NHS FYLDE AND WYRE CCG,02M,1,41,42,0,28,28,0,79,50,32,50,32,132,64
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QH8,NHS SOUTHEND CCG,99G,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QHM,NHS NORTHUMBERLAND CCG,00L,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QHM,NHS NORTH CUMBRIA CCG,01H,0,16,16,0,10,10,0,10,35,9,35,9,37,18
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QHM,NHS NEWCASTLE GATESHEAD CCG,13T,0,0,0,0,0,0,0,0,0,0,0,0,5,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QHM,NHS TEES VALLEY CCG,16C,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QHM,NHS COUNTY DURHAM CCG,84H,0,0,0,0,0,0,0,1,0,0,0,0,2,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QJ2,NHS DERBY AND DERBYSHIRE CCG,15M,0,0,0,0,0,0,0,0,0,0,0,0,2,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QJK,NHS DEVON CCG,15N,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QK1,NHS WEST LEICESTERSHIRE CCG,04V,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QKS,NHS KENT AND MEDWAY CCG,91Q,0,0,0,0,0,0,0,0,0,0,0,0,2,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QMF,NHS CITY AND HACKNEY CCG,07T,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QMF,NHS NEWHAM CCG,08M,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QMF,NHS WALTHAM FOREST CCG,08W,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QMJ,NHS NORTH CENTRAL LONDON CCG,93C,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QMM,NHS NORFOLK AND WAVENEY CCG,26A,0,0,0,0,0,0,0,0,1,1,1,1,0,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QNC,NHS CANNOCK CHASE CCG,04Y,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QOC,NHS SHROPSHIRE CCG,05N,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QOP,NHS BOLTON CCG,00T,0,0,0,0,0,0,0,1,0,0,0,0,3,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QOP,NHS BURY CCG,00V,0,0,0,0,0,0,0,2,1,0,1,0,3,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QOP,NHS OLDHAM CCG,00Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QOP,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",01D,0,1,1,0,1,1,0,2,0,0,0,0,3,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QOP,NHS SALFORD CCG,01G,0,0,0,0,0,0,0,2,1,0,1,0,2,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QOP,NHS STOCKPORT CCG,01W,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QOP,NHS TRAFFORD CCG,02A,0,0,0,0,0,0,0,2,0,0,0,0,4,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QOP,NHS WIGAN BOROUGH CCG,02H,0,0,0,0,0,0,0,1,0,0,0,0,10,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QOP,NHS MANCHESTER CCG,14L,0,0,0,0,0,0,0,1,0,1,0,1,8,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QOQ,NHS EAST RIDING OF YORKSHIRE CCG,02Y,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QOQ,NHS VALE OF YORK CCG,03Q,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QOQ,NHS NORTH YORKSHIRE CCG,42D,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",92G,0,0,0,0,0,0,0,1,1,0,1,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QR1,NHS GLOUCESTERSHIRE CCG,11M,0,0,0,0,0,0,0,0,1,0,1,0,1,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QRV,NHS HOUNSLOW CCG,07Y,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QRV,NHS HAMMERSMITH AND FULHAM CCG,08C,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QSL,NHS SOMERSET CCG,11X,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QU9,NHS BERKSHIRE WEST CCG,15A,0,0,0,0,0,0,0,0,2,0,2,0,0,0
MAR-April-2020,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,QUA,NHS DUDLEY CCG,05C,0,0,0,0,0,0,0,0,0,1,0,1,0,1
